Zone,Ordinance,Description
CC,"Ord. No. 10631CCS Sec. 1, adopted 11/8/11","No vehicle shall be parked adjacent to any curb for more than 2 hours between the hours of 8 a.m. and 6 p.m. Monday - Friday, except by permit on the following streets:
Ashland Avenue, Oak and Hill Streets between 23rd and 25th Streets
Pier Avenue between 23rd and Clover Streets"
DD,"Ord. No. 1797CCS Sec. 1, adopted 4/25/95; amended 1/22/13 Reso. No. 10727(CCS)","No vehicle shall be parked adjacent to any curb for more than 2 hours between the hours of 8 a.m. and 6 p.m. daily, except by permit on the following streets:
24th (southern half of block), 25th and 26th Streets between Pico Boulevard and Pearl Street
 
No vehicle shall be parked adjacent to any curb between the hours of 8 a.m. and 6 p.m. daily, except by permit on the following street segment:
24th Street (northern half of block) between Pico Boulevard and Pearl Street
 
No vehicle shall be parked adjacent to any curb for more than 2 hours between the hours of 8 a.m. and 6 p.m. Monday - Friday, except by permit on the following streets:
Pearl Street between Cloverfield Boulevard and 26th Street
24th Street north of Ocean Park Boulevard to Grant School
25th and 26th Streets between Pearl Street and Ocean Park Boulevard"
EE,"Ord. No. 1848CCS Sec. 1, adopted 5/14/96; amended 1/27/09 Reso. No. 10379","No vehicle shall be parked adjacent to any curb between the hours of 8 a.m. and 6 p.m. daily, except by permit on the following streets:
Navy and Ozone Streets between Longfellow and 7th Streets
 
No vehicle shall be parked adjacent to any curb, except by permit on the following streets:
Navy and Ozone Streets between Longfellow Street and Lincoln Boulevard
Longfellow Street between Ozone and Marine Streets"
FF,"Ord. No. 1849CCS Sec. 1, adopted 5/14/96","No vehicle shall be parked adjacent to any curb between the hours of 8 a.m. and 6 p.m. daily, except by permit on the following street:
Strand Street between Lincoln Boulevard and 7th Street"
GG,"Ord. No. 1850CCS Sec. 1, adopted 5/14/96; amended by Reso. No. 10677(CCS), adopted 5/08/12","No vehicle shall be parked adjacent to any curb, except by permit on the following streets:
7th Street between Michigan Avenue and Pico Boulevard
Michigan Avenue between 7th Street and Lincoln Boulevard"
HH,"Ord. No. 1846CCS Sec. 1, adopted 3/26/96","No vehicle shall be parked adjacent to any curb between the hours of 6 p.m. and 8 a.m. daily, except by permit on the streets within the following named and described area:
The area bounded by Adelaide Drive, 7th Street, San Vicente Boulevard and Ocean Avenue."
II,"Ord. No. 1908CCS Sec. 1, adopted 3/24/98","No vehicle shall be parked adjacent to any curb between the hours of 8 a.m. and 12 a.m. midnight daily, except by permit on the streets within the following named and described area:
The area bounded by 26th Street, Santa Monica Boulevard, Yale Street and Colorado Avenue."
JJ,,
KK,"Ord. No. 1905CCS Sec. 1, adopted 3/24/98; amended by Reso. No. 9487, adopted 2/22/00; amended by Reso. No. 9798, adopted 9/10/02","No vehicle shall be parked adjacent to any curb between the hours of 9 a.m. and 9 p.m. Monday - Saturday, except by permit on the following streets:
1.     14th, 15th, 16th, 17th, 18th and 19th Streets between Santa Monica Boulevard and Colorado Avenue"
LL,"Ord. No. 1904CCS Sec. 1, adopted 2/24/98; amended by Reso. No. 10104, adopted 1/10/06","No vehicle shall be parked adjacent to any curb for more than 2 hours between the hours of 9 a.m. and 6 p.m. Monday - Saturday, except by permit on the following streets:
Centinela Avenue, Franklin Street and Berkeley Street between Wilshire Boulevard and Lipton Avenue"
MM,"Reso. No. 9751(CCS), adopted 3/5/02; amended by Reso. No. 9937, adopted 3/23/04; amended by Reso. No. 10677(CCS), adopted 5/8/12","No vehicle shall be parked adjacent to any curb for more than two hours from 7 a.m. until 9 p.m. Monday - Friday, and from 9 a.m. until 6 p.m. Saturday, except by permit on the following streets:
Bay, Grant and Pacific Streets between Lincoln Boulevard and 10th Street (north side of street only)
Pearl Street between Lincoln Boulevard and 10th Street
 
No vehicle shall be parked adjacent to any curb for more than two hours between 9 a.m. and 6 p.m. daily and no vehicle shall be parked adjacent to any curb from 6 p.m. to 9 a.m. daily, except by permit on the following streets:
Michigan Avenue between Lincoln Boulevard and 10th Street
9th Street between Pico Boulevard and the Santa Monica Freeway"
NN,"Reso. No. _____(CCS), adopted 3/12/13","No vehicle shall be parked adjacent to any curb for more than two hours from 9 a.m. until 6 p.m. daily, and no vehicle shall be parked adjacent to any curb from 6 p.m. until 2 a.m. daily, except by permit on the following streets:
Lincoln Boulevard, 9th, 10th, 11th, 12th, Euclid, and 14th Streets between Idaho and California Avenues
15th Street between Idaho and Washington Avenues
Washington Avenue between Lincoln Boulevard and 16th Street
No vehicle shall be parked adjacent to any curb for more than two hours between 9 a.m. and 10 p.m. daily, except by permit on the following streets:
1.     Montana and Idaho Avenues between 17th and 20th Streets
2.     Washington Avenue between 16th and 17th Streets
3.     16th and 17th Streets between Idaho and Washington Avenues
4.     18th and 19th Streets between Montana and Washington Avenues"
OO,,
PP,"Ord. No. 1913CCS Sec. 1, adopted 5/26/98","No vehicle shall be parked adjacent to any curb between the hours of 8 a.m. and 9 p.m. daily, except by permit on the following street:
Stewart Street between Pico Boulevard and Kansas Avenue"
QQ,"Reso. No. 9332, adopted 10/27/98","No vehicle shall be parked adjacent to any curb for more than 2 hours between the hours of 9 a.m. and 6 p.m. Monday - Friday, except by permit on the following street:
Harvard Street between Wilshire Boulevard and Washington Avenue"
RR,,
SS,,
TT,"Reso. No. 9434, adopted 8/17/99; amended by Reso. No. 9620, adopted 2/13/01; amended by Reso. No. 10041, adopted 6/14/05; amended by Reso. No. 10728(CCS), adopted 1/22/13","No vehicle shall be parked adjacent to any curb for more than 2 hours between the hours of 9 am and 10 pm daily, except by permit on the following streets:
20th, 21st, 22nd, and 23rd Streets between Wilshire Boulevard and Montana Avenue
24th Street between Idaho and Washington Avenues and between Wilshire Boulevard and California Avenue
Chelsea Avenue between Washington Avenue and Wilshire Boulevard
25th Street between Montana and Washington Avenues and between Wilshire Boulevard and California Avenue
26th Street between Montana and Washington Avenues
Montana and Idaho Avenues between 20th and 26th Streets
California and Washington Avenues between 20th and 26th Streets
 
No vehicle shall be parked adjacent to any curb for more than 2 hours between the hours of 9 am and 9 pm daily, except by permit on the following street:
24th Street between California and Washington Avenues
 
No vehicle shall be parked adjacent to any curb for more than 2 hours between the hours of 9 am and 6 pm daily, except by permit on the following street:
25th Street between California and Washington Avenues"
UU,"Reso. No. 9768, adopted 6/11/02","No vehicle shall be parked adjacent to any curb between the hours of 6 p.m. and 8 a.m. daily, except by permit on the following streets:
Ocean Avenue, 2nd, 3rd and 4th Streets between Wilshire Boulevard and Montana Avenue
Montana, Idaho, Washington and California Avenues between Ocean Avenue and 4th Street"
VV,"Reso. No. 9424CCS, adopted 7/20/99; amended by Reso. No. 10574CCS, adopted 4/26/11","No vehicle shall be parked adjacent to any curb, except by permit on the following streets:
1.     Franklin Street between Santa Monica Boulevard and Colorado Avenue
2.     Broadway and Colorado Avenue between Centinela Avenue and Berkeley Street
 
No vehicle shall be parked adjacent to any curb for more than 2 hours between the hours of 8 a.m. and 5 p.m., Monday - Friday, and no vehicle shall be parked adjacent to any curb between the hours of 5 p.m. and 8 a.m. Monday - Friday, or anytime Saturday and Sunday, except by permit on the following streets:
1.     Stanford and Berkeley Streets between Santa Monica Boulevard and Colorado Avenue
2.     Broadway or Colorado Avenue between Yale and Berkeley Streets"
WW,"Reso. No. 9464, adopted 12/14/99, effective 6/1/00; amended by Reso. No. 9654, adopted 4/10/01; amended by Reso. No. 9996, adopted 11/23/04","No vehicle shall be parked adjacent to any curb for more than 2 hours between the hours of 8 a.m. and 6 p.m. Monday - Saturday, and no vehicle shall be parked adjacent to any curb between the hours of 6 p.m. and 8 a.m. daily, except by permit on the following streets:

1.     28th, 29th, 30th, 31st, 32nd, 33rd and 34th Streets between Pico Boulevard and Pearl Street
2.     Dorchester and Yorkshire Avenues between Pico Boulevard and the Santa Monica Freeway
3.     Urban Avenue between Pico Boulevard and Yorkshire Avenue
4.     Kansas Avenue between Stewart Street and the Santa Monica Freeway
 
No vehicle shall be parked adjacent to any curb for more than 2 hours between the hours of 8 a.m. and 6 p.m. Monday - Saturday, except by permit on the following streets:

1.     27th Street between Pico Boulevard and Pearl Street"
XX,"Reso. No. 9596, adopted 11/14/00","No vehicle shall be parked adjacent to any curb between the hours of 7am and 2am daily, except by permit on the following streets:
9th, 10th, 11th, 12th and Euclid Streets between Wilshire Boulevard and Colorado Avenue
Arizona Avenue between Lincoln Boulevard and 14th Street

Vehicles displaying commercial parking permits shall be exempt from posted regulations from 9am to 6pm daily."
YY,"Reso. No. 9620, adopted 2/13/01","No vehicle shall be parked adjacent to any curb for more than 2 hours between the hours of 9 a.m. and 10 p.m., daily, except by permit on the following streets:
26th Street and Princeton Street between Arizona Avenue and Washington Avenue
Harvard Street and Yale Street between Arizona Avenue and Wilshire Boulevard
Washington Avenue between 26th Street and Stanford Street
 
No vehicle shall be parked adjacent to any curb between the hours of 9 a.m. and 10 p.m., daily, except by permit on the following streets:
1.     26th, Princeton, Harvard and Yale Streets between Santa Monica Boulevard and Arizona Avenue
2.     Arizona Avenue between 26th and Yale Streets"
ZZ,"Reso. No. 9703CCS, adopted 9/25/01; amended by Reso. No. 9768, adopted 6/11/02; amended by Reso. No. 10025, adopted 3/8/05","No vehicle shall be parked adjacent to any curb for more than 2 hours between the hours of 8 a.m. and 6 p.m. daily, and no vehicle shall be parked adjacent to any curb between the hours of 6 p.m. and 8 a.m. daily, except by permit on the following streets:
1.     5th, 6th and 7th Streets between Wilshire Boulevard and Montana Avenue
California and Montana Avenues between 4th and 7th Streets
Idaho and Washington Avenues between 4th Street and Lincoln Boulevard"
