GEO_ID,DATA_VALUE
1000000US060377012022002,164
1000000US060377018011030,18
1000000US060377012022003,89
1000000US060377018023010,189
1000000US060377018011031,0
1000000US060377012022004,76
1000000US060377018023011,148
1000000US060377018011032,0
1000000US060377012022005,94
1000000US060377018023012,56
1000000US060377018011033,0
1000000US060377012022006,99
1000000US060377018023013,0
1000000US060377018011034,0
1000000US060377012022007,122
1000000US060377018023014,1
1000000US060377018011035,0
1000000US060377012022008,104
1000000US060377018023015,1
1000000US060377018011036,0
1000000US060377012022009,100
1000000US060377018023016,9
1000000US060377018011037,0
1000000US060377018023017,0
1000000US060377018011038,79
1000000US060377018023018,6
1000000US060377018011039,0
1000000US060377012022010,137
1000000US060377012022011,100
1000000US060377012022012,103
1000000US060377018011040,0
1000000US060377012022013,119
1000000US060377012022014,82
1000000US060377017022000,80
1000000US060377017022001,50
1000000US060377017022002,82
1000000US060377017022003,39
1000000US060377017022004,138
1000000US060377017022005,99
1000000US060377017022006,24
1000000US060377017022007,11
1000000US060377017022008,73
1000000US060377017022009,113
1000000US060377018013000,0
1000000US060377017022010,61
1000000US060377018013001,0
1000000US060377017022011,40
1000000US060377018013002,34
1000000US060377017022012,20
1000000US060377018013003,0
1000000US060377017022013,183
1000000US060377018013004,42
1000000US060377017022014,52
1000000US060377018013005,9
1000000US060377017022015,27
1000000US060377018013006,0
1000000US060377018013007,0
1000000US060377018013008,13
1000000US060377018013009,26
1000000US060377012012000,73
1000000US060377022021000,118
1000000US060377012012001,86
1000000US060377022021001,2
1000000US060377012012002,75
1000000US060377022021002,67
1000000US060377012012003,28
1000000US060377022021003,249
1000000US060377018013010,36
1000000US060377012012004,35
1000000US060377022021004,130
1000000US060377018013011,55
1000000US060377012012005,59
1000000US060377022021005,69
1000000US060377018013012,94
1000000US060377012012006,34
1000000US060377022021006,55
1000000US060377018013013,7
1000000US060377012012007,41
1000000US060377022021007,59
1000000US060377018013014,9
1000000US060377012012008,45
1000000US060377022021008,77
1000000US060377018013015,0
1000000US060377012012009,33
1000000US060377022021009,0
1000000US060377018013016,0
1000000US060377018013017,9
1000000US060377018013018,251
1000000US060377012012010,27
1000000US060377022021010,18
1000000US060377012012011,67
1000000US060377012012012,61
