WKT	OBJECTID	Enabled	Subtype	COMPKEY	WATER_	ANGLE	ValveCompkey	HydrantID	ValveID	Group_	Sequence	COMPTYPE
"POINT (-118.47795503498784 34.022096586069779)"	1258		0	45436	28496	90	4444	1209	14-19			12
"POINT (-118.47456068716963 34.029212802056065)"	1259		0	45238	28522	90	3452	842	18-164			12
"POINT (-118.46544037656281 34.022753623405862)"	1260		0	45248	28577	0	3501	853	17-54			12
"POINT (-118.46993981704063 34.028521659708517)"	1261		0	45923	28578	227.45347595	5199	1729	18-177A			12
"POINT (-118.47947129868177 33.998109609211227)"	1262		0	45679	28581	355.64935302	4752	1457	5-57			12
"POINT (-118.45504491564401 34.015670114442116)"	1263		0	45723	28610	359.97286987	4796	1501	16-75D			12
"POINT (-118.45404680222047 34.016776992292861)"	1264		0	45935	28613	228.13197326	5221	1747	16-74			12
"POINT (-118.45445855359664 34.016249727478744)"	1265		0	45722	28625	180.5874176	4795	1500	16-75C			12
"POINT (-118.49540354812193 34.009890898914541)"	1266		0	45585	28685	150.04840087	4653	1363	3-25			12
"POINT (-118.49665997398098 34.010025894855602)"	1267		0	45892	28692	359.99194335	5059	1676	3-13			12
"POINT (-118.49952789447276 34.007447274637492)"	1268		0	45595	28694	359.94409179	4666	1373	3-20A			12
"POINT (-118.49986394504725 34.007723784307501)"	1269	1	4	45590	28699	180.62973022	4661	1368	3-19A			12
"POINT (-118.49988530648936 34.007413832592768)"	1270	1	4	45589	28701	269.15936279	4660	1367	3-20			12
"POINT (-118.49692855823197 34.008679475731952)"	1271		0	45586	28720	359.89093017	4655	1364	3-22A			12
"POINT (-118.4977220938177 34.009180949211071)"	1272		0	45588	28726	180.00001525	4659	1366	3-17A			12
"POINT (-118.49845608696489 34.00858402226774)"	1273		0	45890	28728	180.06248474	5057	1674	3-17B			12
"POINT (-118.49765251234653 34.008102826489427)"	1274		0	45591	28729	0.11294052	4662	1369	3-21A			12
"POINT (-118.49823175599951 34.00815787537173)"	1275		0	45592	28730	269.68048095	4663	1370	3-21			12
